Episode,TotalReward,Steps,DQNColor,OpponentType,QChosen,QMax,QMean,FinalResult,UsedFallback
83,-0.7336,559,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
84,-0.7328,335,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
85,-0.732,510,White,random,0.3136,0.3136,0.0617,1/2-1/2,0
86,-0.7312,213,White,random,0.3555,0.3555,0.0134,1/2-1/2,0
87,-0.7304,472,White,random,0.2926,0.2926,0.0761,1/2-1/2,0
88,-0.7296,601,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
89,-0.7288,342,White,random,0.6599,0.6599,0.1567,1/2-1/2,0
90,-0.728,584,White,random,0.2358,0.2358,0.0824,1/2-1/2,0
91,-0.7272,415,White,random,0.4578,0.4578,0.2114,1/2-1/2,0
92,-1,236,White,random,-1.0,-1.0,-1.0,0-1,0
93,-0.7256,336,White,random,0.0932,0.0932,0.015,1/2-1/2,0
94,-0.7248,525,White,random,0.3318,0.3318,0.259,1/2-1/2,0
95,-0.724,412,White,random,0.2489,0.2489,0.117,1/2-1/2,0
96,-0.7232,352,White,random,0.2048,0.2048,-0.0777,1/2-1/2,0
97,-0.7224,467,White,random,0.2645,0.2645,0.0953,1/2-1/2,0
98,-0.7216,414,White,random,0.4208,0.4208,0.0708,1/2-1/2,0
99,-0.7208,377,White,random,0.4114,0.4114,0.0621,1/2-1/2,0
100,-0.72,612,White,random,0.2839,0.2839,0.1197,1/2-1/2,0
101,-0.7192,522,White,random,0.5704,0.5704,0.2217,1/2-1/2,0
102,-0.7184,494,White,random,0.7405,0.7405,0.0899,1/2-1/2,0
103,-0.7176,426,White,random,0.9515,0.9515,0.3039,1/2-1/2,0
104,-0.7168,600,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
105,-1,108,White,random,0.9227,0.9227,0.2124,0-1,0
106,-0.7152,356,White,random,0.8741,0.8741,0.3096,1/2-1/2,0
107,1,53,White,random,1.1544,1.1544,0.2062,1-0,0
108,-1,198,White,random,0.7188,0.7188,0.1885,0-1,0
109,-1,132,White,random,-1.0,-1.0,-1.0,0-1,0
110,-0.712,402,White,random,1.2419,1.2419,0.1587,1/2-1/2,0
111,-0.7112,492,White,random,1.0429,1.0429,0.1992,1/2-1/2,0
112,-0.7104,541,White,random,0.3853,0.3853,0.3264,1/2-1/2,0
113,-0.7096,682,White,random,0.9123,0.9123,0.2903,1/2-1/2,0
114,-0.7088,385,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
115,-1,284,White,random,0.6559,0.6559,0.2074,0-1,0
116,-0.7072,269,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
117,-0.7064,305,White,random,0.9434,0.9434,0.5319,1/2-1/2,0
118,-1,406,White,random,-1.0,-1.0,-1.0,0-1,0
119,-0.7048,334,White,random,0.7477,0.7477,0.6816,1/2-1/2,0
120,-0.704,460,White,random,1.0437,1.0437,0.5709,1/2-1/2,0
121,-0.7032,516,White,random,0.9203,0.9203,0.1475,1/2-1/2,0
122,-1,162,White,random,0.7182,0.7182,0.0848,0-1,0
123,-0.7016,324,White,random,0.7213,0.7213,0.518,1/2-1/2,0
124,1,261,White,random,0.9295,0.9295,0.0399,1-0,0
125,-0.7,349,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
126,-0.6992,328,White,random,0.7521,0.7521,0.4996,1/2-1/2,0
