Episode,TotalReward,Steps,DQNColor,OpponentType,QChosen,QMax,QMean,FinalResult,UsedFallback
83,-1,204,White,random,0.3818,0.3818,-0.0489,0-1,0
84,-0.7328,303,White,random,0.2038,0.2038,-0.0053,1/2-1/2,0
85,-0.732,430,White,random,0.5364,0.5364,0.17,1/2-1/2,0
86,-0.7312,270,White,random,0.2934,0.2934,-0.0422,1/2-1/2,0
87,-0.7304,422,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
88,-1,156,White,random,0.3634,0.3634,0.0676,0-1,0
89,-0.7288,270,White,random,0.384,0.384,0.0836,1/2-1/2,0
90,-1,118,White,random,-1.0,-1.0,-1.0,0-1,0
91,-0.7272,319,White,random,0.0858,0.0858,-0.0993,1/2-1/2,0
92,-0.7264,561,White,random,0.4496,0.4496,0.0505,1/2-1/2,0
93,-0.7256,381,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
94,-0.7248,415,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
95,-1,428,White,random,0.0495,0.0495,0.0495,0-1,0
96,-0.7232,342,White,random,0.44,0.44,0.0814,1/2-1/2,0
97,-0.7224,402,White,random,0.3025,0.3025,0.0541,1/2-1/2,0
98,-1,134,White,random,0.1396,0.1396,-0.0125,0-1,0
99,-0.7208,397,White,random,0.2642,0.2642,0.0405,1/2-1/2,0
100,-0.72,734,White,random,0.4489,0.4489,0.0801,1/2-1/2,0
101,-0.7192,623,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
102,-0.7184,341,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
103,-0.7176,481,White,random,0.74,0.74,0.0807,1/2-1/2,0
104,-0.7168,578,White,random,0.6617,0.6617,0.2839,1/2-1/2,0
105,-0.716,613,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
106,-0.7152,590,White,random,0.675,0.675,0.1412,1/2-1/2,0
107,-0.7144,294,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
108,-0.7136,430,White,random,1.0522,1.0522,0.3427,1/2-1/2,0
109,-0.7128,262,White,random,0.625,0.625,0.5091,1/2-1/2,0
110,-0.712,464,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
111,-0.7112,463,White,random,0.7302,0.7302,0.5955,1/2-1/2,0
112,-0.7104,481,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
113,-0.7096,477,White,random,0.7586,0.7586,0.7586,1/2-1/2,0
114,-0.7088,495,White,random,0.7939,0.7939,0.1818,1/2-1/2,0
115,-0.708,496,White,random,0.8142,0.8142,0.2497,1/2-1/2,0
116,-0.7072,610,White,random,0.8254,0.8254,0.1993,1/2-1/2,0
117,-0.7064,457,White,random,0.5944,0.5944,0.1652,1/2-1/2,0
118,-0.7056,706,White,random,0.6291,0.6291,0.2459,1/2-1/2,0
119,-0.7048,319,White,random,0.5117,0.5117,0.2391,1/2-1/2,0
120,-0.704,455,White,random,0.4591,0.4591,0.1203,1/2-1/2,0
121,-0.7032,348,White,random,0.6849,0.6849,0.5501,1/2-1/2,0
122,-0.7024,469,White,random,0.8334,0.8334,0.3938,1/2-1/2,0
123,-1,96,White,random,0.7875,0.7875,0.1473,0-1,0
124,-0.7008,365,White,random,0.7595,0.7595,0.5404,1/2-1/2,0
125,-0.7,512,White,random,0.9966,0.9966,0.2664,1/2-1/2,0
126,-0.6992,477,White,random,0.6037,0.6037,0.4009,1/2-1/2,0
127,-0.6984,317,White,random,0.6365,0.6365,0.2229,1/2-1/2,0
128,-0.6976,666,White,random,0.5289,0.5289,0.1426,1/2-1/2,0
129,-0.6968,502,White,random,0.5649,0.5649,0.1519,1/2-1/2,0
130,-0.696,142,White,random,0.5802,0.5802,0.5802,1/2-1/2,0
131,-0.6952,427,White,random,0.423,0.423,0.3128,1/2-1/2,0
132,-0.6944,394,White,random,0.5531,0.5531,0.3632,1/2-1/2,0
133,-0.6936,551,White,random,0.7763,0.7763,0.3187,1/2-1/2,0
134,-0.6928,376,White,random,0.6303,0.6303,0.1048,1/2-1/2,0
135,-0.692,309,White,random,-1.0,-1.0,-1.0,1/2-1/2,0
136,-0.6912,480,White,random,0.7846,0.7846,0.4994,1/2-1/2,0
137,-0.6904,350,White,random,0.6386,0.6386,0.1357,1/2-1/2,0
138,-0.9,286,White,random,0.7382,0.7382,0.0577,1/2-1/2,0
139,-0.6888,211,White,random,0.7325,0.7325,0.1297,1/2-1/2,0
140,-0.688,344,White,random,0.3759,0.3759,0.2394,1/2-1/2,0
